日期,指数点位,成交额(万亿元)
2023-10-30,3583.7718,0.24297332809400002
2023-10-31,3572.5056,0.196317658324
2023-11-01,3571.0268,0.182943566435
2023-11-02,3554.1889,0.149465055434
2023-11-03,3584.1364,0.16586598919999998
2023-11-06,3632.6084,0.25446594811
2023-11-07,3619.7593,0.19043360531099998
2023-11-08,3611.0723,0.19259437235299998
2023-11-09,3612.8263,0.18935522859200002
2023-11-10,3586.4893,0.166924677328
2023-11-13,3579.4141,0.164821249625
2023-11-14,3582.0584,0.165935163426
2023-11-15,3607.2454,0.18893215050099998
2023-11-16,3572.3641,0.14662921715799998
2023-11-17,3568.0685,0.13962189870500002
2023-11-20,3576.3233,0.157449634694
2023-11-21,3581.0674,0.17592210593000002
2023-11-22,3544.4162,0.13604119553900001
2023-11-23,3561.5204,0.141499811491
2023-11-24,3538.0087,0.140101998555
2023-11-27,3511.9424,0.155975437036
2023-11-28,3518.5232,0.14774053586199998
2023-11-29,3488.3073,0.15594823597600002
2023-11-30,3496.2028,0.15379018065299999
2023-12-01,3482.8813,0.17607832346900001
2023-12-04,3460.138,0.164664395293
2023-12-05,3394.2571,0.16484069111199998
2023-12-06,3399.598,0.172142987725
2023-12-07,3391.2823,0.160949948197
2023-12-08,3399.4618,0.20303422256099998
2023-12-11,3419.4548,0.219761181423
2023-12-12,3426.803,0.16697996478
2023-12-13,3369.605,0.16545592837599998
2023-12-14,3351.9639,0.150245775736
2023-12-15,3341.5517,0.164907019372
2023-12-18,3329.3657,0.142303319419
2023-12-19,3334.0412,0.135293655396
2023-12-20,3297.5022,0.14129054280199999
2023-12-21,3330.8698,0.17112078058000002
2023-12-22,3337.2281,0.167336342309
2023-12-25,3347.4508,0.121838327071
2023-12-26,3324.7902,0.121689997435
2023-12-27,3336.3572,0.140924923675
2023-12-28,3414.5403,0.245855634464
2023-12-29,3431.1099,0.193573180515
2024-01-02,3386.3522,0.184096097449
2024-01-03,3378.2971,0.165099018643
2024-01-04,3347.0519,0.165512262699
2024-01-05,3329.1114,0.18225166494800002
2024-01-08,3286.0564,0.170761644873
2024-01-09,3292.4994,0.17227632304499998
2024-01-10,3277.129,0.159777649838
