日期,指数点位,累计收益率
2023-05-31,3798.5434,-0.022983054704710404
2023-06-01,3806.8679,-0.020841924091036024
2023-06-02,3861.8337,-0.006704263320406967
2023-06-05,3844.2492,-0.011227142925927636
2023-06-06,3808.1629,-0.020508839323817862
2023-06-07,3789.3418,-0.02534978273099253
2023-06-08,3820.1867,-0.01741621799248283
2023-06-09,3836.7026,-0.013168191191788026
2023-06-12,3844.4324,-0.011180022362719644
2023-06-13,3864.9074,-0.005913682124269015
2023-06-14,3864.0247,-0.006140719903437786
2023-06-15,3925.4994,0.00967108406514261
2023-06-16,3963.3509,0.019406804579707337
2023-06-19,3930.9079,0.01106219523386831
2023-06-20,3924.2377,0.009346564334795637
2023-06-21,3864.0323,-0.006138765120248024
2023-06-26,3809.6962,-0.020114461815265217
2023-06-27,3845.4334,-0.010922556839951025
2023-06-28,3840.7986,-0.012114665935783475
2023-06-29,3821.8435,-0.01699007525709506
2023-06-30,3842.4516,-0.011689500591990698
2023-07-03,3892.8821,0.0012816433100939495
2023-07-04,3899.0133,0.002858638927675905
2023-07-05,3868.8054,-0.004911084114526343
2023-07-06,3842.7547,-0.011611540751879534
2023-07-07,3825.6988,-0.015998460042379592
2023-07-10,3844.3269,-0.011207157839894566
2023-07-11,3869.4861,-0.004736002414877372
2023-07-12,3843.4369,-0.011436073239758815
2023-07-13,3898.4229,0.002706783138822111
2023-07-14,3899.1027,0.002881633350988233
2023-07-17,3867.1749,-0.0053304622712440075
2023-07-18,3854.9393,-0.00847756032358038
2023-07-19,3850.8663,-0.009525169788352494
2023-07-20,3823.6946,-0.01651395694620894
2023-07-21,3821.91,-0.016972970904183926
2023-07-24,3805.221,-0.021265520464110788
2023-07-25,3915.1153,0.007000207207018105
2023-07-26,3907.0128,0.004916176839152575
2023-07-27,3902.3458,0.003715785635594715
2023-07-28,3992.7376,0.026965308154079715
2023-07-31,4014.6301,0.0325962411782692
2023-08-01,3998.001,0.02831909839637836
2023-08-02,3969.895,0.02109000151032725
2023-08-03,4004.9839,0.0301151583353807
2023-08-04,4020.5792,0.034126399161789056
2023-08-07,3990.1531,0.02630055326537284
2023-08-08,3979.7322,0.023620211141276437
2023-08-09,3967.5652,0.020490757579311847
2023-08-10,3975.7166,0.02258736543375406
2023-08-11,3884.2538,-0.000937627189511514
2023-08-14,3855.9061,-0.00822889132516591
