日期,指数点位,波动率
2023-07-03,3892.8821,0.14188000946559604
2023-07-04,3899.0133,0.14184217036123314
2023-07-05,3868.8054,0.1364249896514705
2023-07-06,3842.7547,0.1375704307573611
2023-07-07,3825.6988,0.13433807655527943
2023-07-10,3844.3269,0.1338558688636406
2023-07-11,3869.4861,0.1328519089255886
2023-07-12,3843.4369,0.13450377127782584
2023-07-13,3898.4229,0.14314997789871553
2023-07-14,3899.1027,0.14216272906122046
2023-07-17,3867.1749,0.14528671509752136
2023-07-18,3854.9393,0.1336588141912104
2023-07-19,3850.8663,0.12812055353979487
2023-07-20,3823.6946,0.12741769566318098
2023-07-21,3821.91,0.12743888497716854
2023-07-24,3805.221,0.11739762757646281
2023-07-25,3915.1153,0.146475822460651
2023-07-26,3907.0128,0.14390482552257933
2023-07-27,3902.3458,0.1439029461977289
2023-07-28,3992.7376,0.16162999132706762
2023-07-31,4014.6301,0.1616533817883798
2023-08-01,3998.001,0.15788975571891725
2023-08-02,3969.895,0.16050422617334176
2023-08-03,4004.9839,0.15951715607226868
2023-08-04,4020.5792,0.15666347971012892
2023-08-07,3990.1531,0.1586965547810416
2023-08-08,3979.7322,0.1591392784175037
2023-08-09,3967.5652,0.15892995389808112
2023-08-10,3975.7166,0.15626914292929941
2023-08-11,3884.2538,0.1709781678917238
2023-08-14,3855.9061,0.17276701042520148
2023-08-15,3846.5357,0.17066615447203198
2023-08-16,3818.3338,0.17218208780136424
2023-08-17,3831.1008,0.17264428784875452
2023-08-18,3784.0038,0.17618601316764695
2023-08-21,3729.555,0.18269497703521398
2023-08-22,3758.2271,0.18474114035443331
2023-08-23,3696.6339,0.15866126196473512
2023-08-24,3723.4293,0.1623557613778857
2023-08-25,3709.1517,0.16239925751195453
2023-08-28,3752.6194,0.14346711374842747
2023-08-29,3790.1067,0.14757942373723995
2023-08-30,3788.5097,0.14768266195710045
2023-08-31,3765.2678,0.1473703046030435
2023-09-01,3791.4912,0.1456907101894831
2023-09-04,3848.9517,0.15678150586599934
2023-09-05,3820.3174,0.15672510677633633
2023-09-06,3812.0283,0.15671165210009397
2023-09-07,3758.4748,0.16217482920965862
2023-09-08,3739.9927,0.16149119249698163
2023-09-11,3767.537,0.14740205445186846
2023-09-12,3760.6048,0.14585977685555093
2023-09-13,3736.6513,0.14692962164082332
2023-09-14,3733.5077,0.14530501675697727
2023-09-15,3708.7766,0.14562759883529422
2023-09-18,3727.711,0.14180756721480897
2023-09-19,3720.5021,0.13291580024426103
2023-09-20,3705.6898,0.13044434256860918
2023-09-21,3672.4448,0.12137450755322743
2023-09-22,3738.9327,0.13493291136442784
2023-09-25,3714.6037,0.13625880618658992
2023-09-26,3692.8928,0.13087322745461585
2023-09-27,3700.495,0.12545866889299775
2023-09-28,3689.5172,0.12559260394183744
2023-10-09,3684.7272,0.12432393735474344
2023-10-10,3657.1259,0.12272989285306629
2023-10-11,3667.5483,0.10796585484803797
2023-10-12,3702.3824,0.11355406208818236
2023-10-13,3663.4104,0.11781472641688827
2023-10-16,3626.5972,0.11333290764422452
2023-10-17,3639.4018,0.11406386409336444
2023-10-18,3610.5767,0.11174545280840782
2023-10-19,3533.5445,0.13026424444558168
2023-10-20,3510.5889,0.13030720642792296
2023-10-23,3474.2438,0.13252825778829955
2023-10-24,3487.1302,0.13417305780089758
2023-10-25,3504.4576,0.13407140622948238
2023-10-26,3514.1448,0.1354795069524642
2023-10-27,3562.3851,0.14675377355180919
2023-10-30,3583.7718,0.14674747605664334
2023-10-31,3572.5056,0.1290637642080028
2023-11-01,3571.0268,0.1281856537837984
2023-11-02,3554.1889,0.127800601528349
2023-11-03,3584.1364,0.13204966078312813
2023-11-06,3632.6084,0.1417237074063011
2023-11-07,3619.7593,0.14205424187423316
2023-11-08,3611.0723,0.14011834635905027
2023-11-09,3612.8263,0.13963061530712512
2023-11-10,3586.4893,0.13628438720644753
2023-11-13,3579.4141,0.13229164977207664
2023-11-14,3582.0584,0.1282843477849663
2023-11-15,3607.2454,0.13024802758159967
2023-11-16,3572.3641,0.13165580942784255
2023-11-17,3568.0685,0.10776467051141539
2023-11-20,3576.3233,0.10485534862818972
2023-11-21,3581.0674,0.09653093243995108
2023-11-22,3544.4162,0.10421768142244489
2023-11-23,3561.5204,0.10414656345173084
2023-11-24,3538.0087,0.10692588699745742
2023-11-27,3511.9424,0.0982776662489357
2023-11-28,3518.5232,0.09575820044249023
2023-11-29,3488.3073,0.09919145258088082
2023-11-30,3496.2028,0.09986173454063577
2023-12-01,3482.8813,0.09948480413856141
2023-12-04,3460.138,0.09512737697651226
2023-12-05,3394.2571,0.09651686857578472
2023-12-06,3399.598,0.09791140830816081
2023-12-07,3391.2823,0.09790817665754907
2023-12-08,3399.4618,0.09898565429228684
2023-12-11,3419.4548,0.10205316627263293
2023-12-12,3426.803,0.10318610347095158
2023-12-13,3369.605,0.11431131190945291
2023-12-14,3351.9639,0.1086653407101733
2023-12-15,3341.5517,0.10629721999401864
2023-12-18,3329.3657,0.10606877216371283
2023-12-19,3334.0412,0.10551097403124389
2023-12-20,3297.5022,0.10727180783462786
2023-12-21,3330.8698,0.1150163065881326
2023-12-22,3337.2281,0.11296376456681083
2023-12-25,3347.4508,0.11411049714862473
2023-12-26,3324.7902,0.11381465841097194
2023-12-27,3336.3572,0.1147381589328708
2023-12-28,3414.5403,0.14338594584621972
2023-12-29,3431.1099,0.14440051567084103
2024-01-02,3386.3522,0.1502080896638112
2024-01-03,3378.2971,0.1490691398632743
2024-01-04,3347.0519,0.1376403566563727
2024-01-05,3329.1114,0.1383350378952022
2024-01-08,3286.0564,0.14439071110579466
2024-01-09,3292.4994,0.1442466254237675
2024-01-10,3277.129,0.14207427203362888
2024-01-11,3295.6717,0.1438693939215971
2024-01-12,3284.1667,0.13357221512241785
2024-01-15,3280.9195,0.13275874927645115
2024-01-16,3300.8762,0.13471173337626502
2024-01-17,3229.082,0.15327510554001944
2024-01-18,3274.7286,0.16230120826040143
2024-01-19,3269.7763,0.1580985563518999
2024-01-22,3218.9016,0.16164788000460412
2024-01-23,3231.9329,0.16239746429110663
2024-01-24,3277.1089,0.17044344143069112
2024-01-25,3342.9189,0.1837636276547228
2024-01-26,3333.8213,0.18367699844445148
2024-01-29,3303.9604,0.16499053560239016
2024-01-30,3245.0387,0.17250379123739917
2024-01-31,3215.3518,0.17004041875232345
2024-02-01,3217.7109,0.17038903404929012
2024-02-02,3179.6276,0.17195401985792422
2024-02-05,3200.4218,0.17428490784833395
2024-02-06,3311.6922,0.210519573737473
2024-02-07,3343.6303,0.21288198628553617
2024-02-08,3364.9297,0.2127308981133232
2024-02-19,3403.8078,0.21520311397679384
2024-02-20,3410.8542,0.21439788092193784
2024-02-21,3456.8713,0.21778869008872445
2024-02-22,3486.6747,0.2184796503533154
2024-02-23,3489.7416,0.19983743644499313
2024-02-26,3453.3585,0.2018996895478643
2024-02-27,3494.7874,0.20383925127619826
2024-02-28,3450.2598,0.2007732745738315
2024-02-29,3516.0826,0.20801726162365902
2024-03-01,3537.8038,0.20508539436558182
2024-03-04,3540.8686,0.19640041656826626
2024-03-05,3565.5143,0.1958240008592071
2024-03-06,3551.0481,0.19267748735416207
2024-03-07,3529.7195,0.18011607758280246
2024-03-08,3544.9099,0.1735837055201766
2024-03-11,3589.2635,0.17497058867817342
2024-03-12,3597.4939,0.16406773639166414
2024-03-13,3572.361,0.17003449047231298
2024-03-14,3562.2229,0.13401431109316536
2024-03-15,3569.993,0.13219323022294585
2024-03-18,3603.528,0.1335273080664367
2024-03-19,3577.6303,0.13470932669522442
2024-03-20,3585.3838,0.1347066723927149
2024-03-21,3581.0902,0.12897445592221463
2024-03-22,3545.0023,0.13257159844422423
2024-03-25,3525.7634,0.13432643882030712
2024-03-26,3543.7467,0.12904454855070682
2024-03-27,3502.7866,0.13014956408175649
2024-03-28,3520.9648,0.12237759652240955
2024-03-29,3537.4843,0.10442319551972065
2024-04-01,3595.6466,0.11698805066691294
2024-04-02,3580.6759,0.11824208162207084
2024-04-03,3567.8031,0.11668513182628501
2024-04-08,3536.4077,0.11990370407918018
2024-04-09,3533.4871,0.11805498824126624
2024-04-10,3504.7086,0.12029390254416189
2024-04-11,3504.2447,0.11062594397762636
2024-04-12,3475.8389,0.11243651155494819
2024-04-15,3549.0759,0.13523677665298586
2024-04-16,3511.1146,0.13977530661220014
2024-04-17,3565.403,0.1503381589631864
2024-04-18,3569.8018,0.1465097986724636
2024-04-19,3541.6619,0.14693481630152283
2024-04-22,3530.9045,0.14687710252383207
2024-04-23,3506.2249,0.14849171014755932
2024-04-24,3521.6219,0.14573645429459126
2024-04-25,3530.2813,0.14478104957166837
2024-04-26,3584.2686,0.1532721014474963
2024-04-29,3623.9124,0.15069702385563433
2024-04-30,3604.3943,0.1520256335966704
2024-05-06,3657.8767,0.15890374408646918
2024-05-07,3659.0076,0.14952254087221492
2024-05-08,3630.2233,0.15163002690501
2024-05-09,3664.561,0.1537020853950247
2024-05-10,3666.2771,0.14930415806436023
2024-05-13,3664.6907,0.14922452424031932
2024-05-14,3657.0454,0.1455792049299571
2024-05-15,3626.0559,0.14996937678529898
2024-05-16,3640.3592,0.14582326219131775
2024-05-17,3677.9696,0.1324904513073823
2024-05-20,3690.9623,0.12460529496393373
2024-05-21,3676.1611,0.11692860527922343
2024-05-22,3684.451,0.11695463102927028
2024-05-23,3641.7917,0.12132200352607193
2024-05-24,3601.4754,0.1279953332530072
2024-05-27,3635.7079,0.12781876657019228
2024-05-28,3609.1724,0.13115672259615807
2024-05-29,3613.5223,0.1310772772171829
2024-05-30,3594.3121,0.1221856368861414
2024-05-31,3579.9247,0.11625374665230707
2024-06-03,3588.7483,0.11532115150880723
2024-06-04,3615.6714,0.10567892139790426
2024-06-05,3594.7936,0.10716004307478398
2024-06-06,3592.2454,0.10405390376669074
2024-06-07,3574.1143,0.09858542953094901
2024-06-11,3542.8771,0.10176532327011685
2024-06-12,3544.1225,0.10191573268572017
2024-06-13,3526.1306,0.10262973576686732
2024-06-14,3541.5331,0.1016090519838544
2024-06-17,3536.1986,0.09993797631506873
2024-06-18,3545.5902,0.09182944167188348
2024-06-19,3528.749,0.09032081253830375
2024-06-20,3503.2817,0.09183581934587944
2024-06-21,3495.6198,0.09035202492697109
2024-06-24,3476.8102,0.08487950562505821
2024-06-25,3457.9023,0.07952988809764087
2024-06-26,3480.2648,0.07457079092402816
2024-06-27,3454.1175,0.07476376143747675
2024-06-28,3461.657,0.07537885077964081
2024-07-01,3478.1827,0.07790091089739093
2024-07-02,3471.7857,0.07740192853886359
2024-07-03,3463.4141,0.07612856899134947
2024-07-04,3445.8128,0.06916597425508621
2024-07-05,3431.0605,0.06840467561662726
2024-07-08,3401.7604,0.07154797847932047
2024-07-09,3439.8111,0.08527891054122608
2024-07-10,3428.9657,0.08167731123663902
2024-07-11,3468.169,0.09313245401740274
2024-07-12,3472.4014,0.09222216484853094
2024-07-15,3476.2467,0.09063579307243104
2024-07-16,3498.2827,0.09395566354557343
2024-07-17,3501.5836,0.0934174795633202
2024-07-18,3520.931,0.09441164867411159
2024-07-19,3539.0156,0.09233503838764422
2024-07-22,3514.9249,0.09536607342149847
2024-07-23,3439.8779,0.12013818071084251
2024-07-24,3418.1663,0.12062939519485487
2024-07-25,3399.2716,0.11901759686065615
2024-07-26,3409.2931,0.11741454133812435
2024-07-29,3390.742,0.11810964781714861
2024-07-30,3369.3821,0.1175654884986681
2024-07-31,3442.0844,0.14210290836308428
2024-08-01,3419.2666,0.14360910808429977
2024-08-02,3384.3919,0.14669515956764909
2024-08-05,3343.3205,0.1514784644100328
2024-08-06,3342.9789,0.14912138864485164
2024-08-07,3341.489,0.14265749507403555
2024-08-08,3342.9369,0.1426246692438647
2024-08-09,3331.6274,0.13516723575445472
2024-08-12,3325.8645,0.13470116607381435
2024-08-13,3334.3903,0.1352201328861977
2024-08-14,3309.2389,0.13303450470481765
2024-08-15,3341.953,0.13949246234876855
2024-08-16,3345.634,0.13723589767933234
2024-08-19,3356.9677,0.1361564353018729
2024-08-20,3332.7034,0.13633278905311816
2024-08-21,3321.635,0.11798750436319388
2024-08-22,3313.1357,0.11682491627040416
2024-08-23,3327.1905,0.11743866024718101
2024-08-26,3324.2231,0.11656456671564228
2024-08-27,3305.3338,0.1166785830024317
2024-08-28,3286.4956,0.11636544732523198
2024-08-29,3277.6812,0.08187194568022271
2024-08-30,3321.4323,0.09654195556315584
2024-09-02,3265.011,0.10669822301199966
2024-09-03,3273.4282,0.10053987209481918
2024-09-04,3252.1649,0.10225620789853032
2024-09-05,3257.7578,0.10275563756365151
2024-09-06,3231.3457,0.10528609539652795
2024-09-09,3192.9516,0.11106286811149459
2024-09-10,3195.7552,0.11150906755435579
2024-09-11,3186.1299,0.11037975979680105
2024-09-12,3172.4747,0.10893829598501292
2024-09-13,3159.247,0.10016747066274784
2024-09-18,3171.0102,0.10180470203493375
2024-09-19,3196.0357,0.10620428561936199
2024-09-20,3201.0497,0.10544622022024977
2024-09-23,3212.7639,0.10701881018435162
2024-09-24,3351.909,0.18854863865952481
2024-09-25,3401.533,0.19455966511167821
2024-09-26,3545.3204,0.2408700564717653
2024-09-27,3703.6849,0.27784497128436036
2024-09-30,4017.8545,0.3870580330348541
2024-10-08,4256.0962,0.4198547715506528
2024-10-09,3955.9839,0.5095036642273338
2024-10-10,3997.7879,0.5007673687972081
2024-10-11,3887.167,0.5172280519782454
2024-10-14,3961.3424,0.5153351034309881
2024-10-15,3855.9949,0.5301429593360422
2024-10-16,3831.589,0.529472828384906
2024-10-17,3788.2217,0.5292007922196449
2024-10-18,3925.234,0.5366971427758774
